"No.","Time","Source","Destination","Protocol","Length","Info"
"64","12.759147799","fe80::f4fc:11ff:fe5b:4731","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","ICMPv6","86","Neighbor Solicitation for 2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed from f6:fc:11:5b:47:31"
"65","12.759210879","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","fe80::f4fc:11ff:fe5b:4731","ICMPv6","78","Neighbor Advertisement 2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed (sol)"
"66","13.169858287","192.168.42.252","192.168.42.129","DNS","83","Standard query 0x3b13 PTR 1.0.21.172.in-addr.arpa"
"67","13.171031216","192.168.42.129","192.168.42.252","DNS","83","Standard query response 0x3b13 No such name PTR 1.0.21.172.in-addr.arpa"
"68","13.579814855","192.168.42.252","192.168.42.129","DNS","87","Standard query 0xaf6a PTR 252.42.168.192.in-addr.arpa"
"69","13.580676590","192.168.42.129","192.168.42.252","DNS","108","Standard query response 0xaf6a PTR 252.42.168.192.in-addr.arpa PTR kkaneki"
"70","13.582474776","192.168.42.252","192.168.42.129","DNS","132","Standard query 0xfa7b PTR e.c.3.d.7.1.c.5.4.d.4.f.1.1.c.d.9.c.4.6.4.b.2.5.0.0.9.4.1.0.4.2.ip6.arpa"
"71","13.613465695","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"72","13.613520546","192.168.42.252","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"73","13.704015796","192.168.42.129","192.168.42.252","DNS","132","Standard query response 0xfa7b No such name PTR e.c.3.d.7.1.c.5.4.d.4.f.1.1.c.d.9.c.4.6.4.b.2.5.0.0.9.4.1.0.4.2.ip6.arpa"
"74","13.706071310","192.168.42.252","192.168.42.129","DNS","132","Standard query 0x6048 PTR d.e.0.c.f.9.5.4.2.b.d.d.6.d.2.8.9.c.4.6.4.b.2.5.0.0.9.4.1.0.4.2.ip6.arpa"
